Name,Spectral Type,Stellar Effective Temperature [K],Stellar Radius [Solar Radius],Stellar Mass [Solar mass],Stellar Luminosity [log(Solar)],Stellar Surface Gravity [log10(cm/s**2)],Stellar Age [Gyr]
Kepler-1631,,5679.00,0.95,0.97,0.007,4.47,4.170
Kepler-1632,,6137.00,1.19,1.12,0.406,4.33,3.090
Kepler-1633,,6256.00,1.32,1.20,0.646,4.27,2.820
Kepler-1634,,5474.00,0.89,0.92,-0.265,4.51,4.470
Kepler-1635,,5347.00,0.85,0.89,-0.280,4.53,4.900
Kepler-1636,,5797.00,1.02,1.01,0.237,4.43,3.980
Kepler-1637,,5789.00,1.02,1.02,0.023,4.43,4.170
Kepler-1638,,5710.00,0.95,0.97,-0.114,4.47,4.370
Kepler-1639,,6150.00,1.18,1.12,0.145,4.34,3.160
Kepler-1640,,6324.00,1.43,1.27,0.470,4.23,2.400
Kepler-1643,,4916.00,0.86,0.85,-0.472,4.50,0.046
Kepler-1644,,5499.00,0.86,0.89,-0.215,4.53,4.270
Kepler-1645,,5812.00,1.02,1.02,0.336,4.43,4.170
Kepler-1646,,3299.00,0.26,0.24,-1.780,5.01,4.680
Kepler-1647,,6210.00,1.79,1.22,0.644,4.02,4.400
Kepler-1650,,3410.00,0.33,0.33,-1.871,4.86,13.900
Kepler-1651,,3713.00,0.50,0.52,-1.368,4.84,
Kepler-1652,,3638.00,0.38,0.40,-1.638,4.88,3.200
Kepler-1653,,4807.00,0.69,0.72,-0.636,4.62,7.700
Kepler-1654,G5 V,5597.00,1.18,1.01,0.090,4.30,5.000
Kepler-1655,G0 V,6148.00,1.03,1.03,0.143,4.36,2.560
Kepler-1658,,6216.00,2.89,1.45,1.206,3.67,2.010
Kepler-1661,K,5100.00,0.76,0.84,-0.513,4.66,2.000
Kepler-1663,,3844.00,0.63,0.61,-1.109,4.63,0.000
Kepler-1664,,5735.81,1.07,0.94,0.050,4.35,8.200
Kepler-1665,,5049.84,0.78,0.84,-0.450,4.58,13.900
Kepler-1667,,5941.54,1.09,1.09,0.123,4.40,4.700
Kepler-1668,,5542.00,1.02,0.98,-0.056,4.41,
Kepler-1670,,5838.00,1.52,1.05,0.383,4.10,0.300
Kepler-1671,,5135.55,0.93,0.87,-0.266,4.44,13.400
Kepler-1672,,6131.95,1.09,1.16,0.179,4.43,4.190
Kepler-1673,,6014.95,1.13,1.11,0.179,4.38,0.300
Kepler-1674,,5473.91,0.88,0.96,-0.206,4.53,0.500
Kepler-1675,,5853.19,1.13,1.06,0.129,4.36,1.900
Kepler-1676,,5878.30,1.06,1.07,0.084,4.47,0.300
Kepler-1677,,6013.72,1.25,1.11,0.265,4.29,0.300
Kepler-1678,,5754.00,0.83,1.03,-0.162,4.61,0.300
Kepler-1679,,5501.00,0.87,0.96,-0.201,4.54,0.400
Kepler-1680,,5021.00,0.72,0.83,-0.524,4.64,13.800
Kepler-1681,,5756.40,0.76,0.89,-0.293,4.54,3.300
Kepler-1682,,5619.12,0.84,0.99,-0.196,4.58,5.700
Kepler-1683,,5429.00,0.90,0.95,-0.198,4.51,13.600
Kepler-1684,,4706.54,0.67,0.75,-0.707,4.67,
Kepler-1685,,5484.00,0.84,0.96,-0.245,4.58,
Kepler-1686,,5714.96,1.20,1.02,0.141,4.29,0.400
Kepler-1687,,4132.00,0.73,0.65,-0.859,4.53,13.800
Kepler-1688,,4632.11,0.75,0.81,-0.636,4.60,14.000
Kepler-1689,,5731.43,1.00,1.02,-0.016,4.45,2.500
Kepler-1690,,5404.00,0.86,0.94,-0.243,4.54,8.500
Kepler-1691,,6000.00,1.13,1.11,0.175,4.38,0.610
Kepler-1692,,5146.00,0.87,0.87,-0.324,4.50,6.100
Kepler-1694,,4954.00,0.76,0.82,-0.508,4.59,0.700
Kepler-1695,,5473.19,0.99,0.96,-0.104,4.43,0.500
Kepler-1696,,5712.00,1.20,1.02,0.139,4.29,
Kepler-1697,,4681.53,0.77,0.75,-0.588,4.54,
Kepler-1698,,4975.03,0.74,0.82,-0.518,4.61,
Kepler-1699,,5575.53,0.73,0.81,-0.339,4.62,
Kepler-17,G2 V,5781.00,1.01,1.04,0.012,4.45,1.800
Kepler-1700,,6031.00,1.09,1.12,0.154,4.41,
Kepler-1701,,5146.00,0.84,0.87,-0.351,4.53,
Kepler-1702,,5093.00,0.73,0.85,-0.496,4.65,
Kepler-1704,,5745.00,1.70,1.13,0.452,4.03,7.400
Kepler-1708,,6157.00,1.12,1.09,0.182,4.37,3.160
Kepler-1709,,5918.00,1.04,1.00,0.115,4.40,2.200
Kepler-1710,,5650.00,0.90,0.93,-0.143,4.50,9.100
Kepler-1711,,5706.00,1.03,0.94,0.010,4.38,6.600
Kepler-1712,,3732.00,0.51,0.52,-1.179,4.74,13.800
Kepler-1713,,6477.00,1.46,1.30,0.486,4.22,1.450
Kepler-1714,,6150.00,2.09,1.45,0.760,3.96,3.050
Kepler-1715,,6212.00,1.21,1.08,0.417,4.31,0.820
Kepler-1716,,4894.00,0.68,0.75,-0.624,4.64,7.900
Kepler-1717,,6200.00,1.64,1.16,0.593,4.07,0.330
Kepler-1718,,5731.00,0.91,0.85,-0.040,4.45,10.400
Kepler-1719,,5687.00,1.78,1.08,0.526,3.97,7.700
Kepler-1720,,5573.00,0.84,0.94,-0.336,4.56,0.500
Kepler-1721,,5351.00,0.80,0.89,-0.407,4.58,0.700
Kepler-1722,,5506.00,0.79,0.88,-0.170,4.58,1.400
Kepler-1723,,6072.00,1.01,0.96,0.034,4.41,3.300
Kepler-1724,,6092.00,0.94,1.02,0.055,4.50,0.300
Kepler-1725,,6020.00,1.08,1.05,0.199,4.39,0.890
Kepler-1726,,5316.00,0.80,0.88,-0.370,4.57,10.900
Kepler-1727,,5349.00,0.82,0.82,-0.251,4.53,9.700
Kepler-1728,,5170.00,0.81,0.89,-0.416,4.57,12.800
Kepler-1729,,3837.00,0.52,0.54,-0.663,4.75,1.200
Kepler-1730,,5942.00,1.14,1.01,0.075,4.33,7.400
Kepler-1731,,4859.00,0.72,0.78,-0.600,4.61,13.900
Kepler-1732,,5821.00,1.49,1.04,0.296,4.11,2.000
Kepler-1733,,6320.00,1.25,1.27,0.430,4.35,0.200
Kepler-1734,,6061.00,0.97,1.05,0.144,4.49,0.300
Kepler-1735,,3975.00,0.51,0.54,-1.193,4.75,14.000
Kepler-1736,,6085.00,0.97,0.98,0.402,4.45,1.700
Kepler-1737,,5043.00,0.88,0.83,-0.344,4.47,13.700
Kepler-1738,,6063.00,1.00,1.08,-0.005,4.47,0.300
Kepler-1739,,5757.00,0.76,0.86,-0.140,4.60,0.400
Kepler-1740,,5705.00,0.91,0.94,-0.079,4.50,
Kepler-1741,,3683.00,0.42,0.45,-1.242,4.84,13.400
Kepler-1742,,5776.00,0.85,0.94,-0.184,4.55,0.500
Kepler-1743,,5855.00,1.61,1.27,0.599,4.12,5.100
Kepler-1744,,5986.00,0.85,0.89,-0.098,4.53,
Kepler-1745,,5611.00,1.40,0.99,0.007,4.14,2.100
Kepler-1746,,6018.00,1.29,1.09,0.496,4.26,
Kepler-1747,,5477.00,0.86,0.98,-0.205,4.56,0.700
Kepler-1748,,5774.00,0.86,0.92,-0.350,4.53,
Kepler-1749,,3957.00,0.55,0.55,-0.950,4.69,13.900
Kepler-1750,,5644.00,0.97,0.98,0.061,4.46,0.500
Kepler-1751,,6052.00,0.97,0.97,0.036,4.46,1.900
Kepler-1752,,5446.00,0.82,0.82,-0.398,4.53,7.200
Kepler-1753,,5180.00,0.77,0.86,-0.560,4.60,6.200
Kepler-1754,,4723.00,0.75,0.73,-0.612,4.56,
Kepler-1755,,6086.00,0.92,1.00,0.274,4.51,0.300
Kepler-1756,,4915.00,0.81,0.78,-0.459,4.51,13.700
Kepler-1757,,5288.00,0.74,0.83,-0.369,4.61,0.700
Kepler-1758,,5557.00,1.62,1.04,0.485,4.04,0.400
Kepler-1759,,5017.00,0.80,0.76,-0.563,4.52,13.800
Kepler-1760,,5229.00,0.90,0.82,-0.260,4.44,0.600
Kepler-1761,,3871.00,0.53,0.57,-1.170,4.74,13.900
Kepler-1762,,6572.00,1.24,1.30,0.331,4.37,0.280
Kepler-1763,,5897.00,1.26,1.03,0.274,4.25,5.400
Kepler-1764,,6461.00,1.13,1.16,0.415,4.40,0.240
Kepler-1765,,5692.00,1.06,0.95,-0.136,4.36,11.900
Kepler-1766,,5868.00,1.04,0.92,0.175,4.36,7.300
Kepler-1767,,5243.00,0.83,0.89,-0.503,4.55,0.600
Kepler-1768,,6050.00,1.57,1.24,0.287,4.14,
Kepler-1769,,6071.00,1.30,1.06,0.215,4.24,2.670
Kepler-1770,,5602.00,1.01,0.94,-0.209,4.40,12.300
Kepler-1771,,5661.00,0.93,0.94,-0.092,4.47,0.800
Kepler-1772,,5541.00,0.93,0.94,0.472,4.47,5.100
Kepler-1773,,6183.00,1.30,1.24,0.405,4.30,2.910
Kepler-1774,,6214.00,1.12,1.10,0.190,4.38,2.500
Kepler-1775,,5818.00,1.65,1.15,0.246,4.07,0.400
Kepler-1776,,5872.00,1.15,1.04,0.164,4.33,0.600
Kepler-1777,,5771.00,1.07,0.98,-0.033,4.37,3.100
Kepler-1778,,6310.00,1.09,1.14,0.098,4.42,0.300
Kepler-1779,,5730.00,1.06,1.01,-0.050,4.39,0.600
Kepler-1780,,5403.00,0.87,0.87,-0.217,4.50,0.600
Kepler-1781,,5568.00,0.96,1.05,-0.361,4.50,0.900
Kepler-1782,,4931.00,0.73,0.79,-0.556,4.61,14.000
Kepler-1783,,5129.00,1.78,0.89,-0.451,3.88,13.900
Kepler-1784,,5442.00,0.97,0.89,-0.121,4.41,13.800
Kepler-1785,,5618.00,1.00,0.91,0.003,4.40,0.300
Kepler-1786,,5808.00,1.40,1.06,0.159,4.17,0.500
Kepler-1787,,6060.00,0.93,1.01,-0.098,4.51,0.300
Kepler-1788,,4786.00,0.70,0.69,-0.611,4.58,13.800
Kepler-1789,,5436.00,0.89,0.92,-0.231,4.50,4.500
Kepler-1790,,5866.00,1.37,1.02,0.383,4.17,0.500
Kepler-1791,,5887.00,1.18,0.99,0.176,4.29,3.730
Kepler-1792,,5229.00,1.01,0.88,-0.508,4.38,
Kepler-1793,,5191.00,0.76,0.85,-0.234,4.60,3.600
Kepler-1794,,5052.00,0.82,0.77,-0.611,4.50,14.000
Kepler-1795,,4500.00,0.69,0.77,-0.757,4.64,5.800
Kepler-1796,,6036.00,0.95,1.02,0.118,4.49,0.400
Kepler-1797,,6244.00,1.01,1.07,0.062,4.46,0.400
Kepler-1798,,3967.00,0.59,0.59,-0.957,4.67,13.900
Kepler-1799,,5831.00,0.92,1.02,0.314,4.52,0.500
Kepler-1800,,5343.00,2.51,1.33,-0.188,3.76,14.000
Kepler-1801,,5738.00,0.98,0.94,-0.223,4.43,8.100
Kepler-1804,,5109.00,1.67,0.93,-0.512,3.96,14.000
Kepler-1805,,3867.00,0.55,0.58,-1.177,4.72,13.800
Kepler-1806,,5311.00,0.79,0.88,-0.435,4.59,0.600
Kepler-1807,,6455.00,1.50,1.09,0.603,4.12,2.950
Kepler-1808,,5530.00,0.89,0.77,-0.062,4.42,12.100
Kepler-1809,,4901.00,0.72,0.81,-0.471,4.62,7.000
Kepler-1810,,5492.00,1.02,0.92,-0.158,4.39,4.500
Kepler-1811,,5561.00,1.19,0.95,0.154,4.26,0.400
Kepler-1812,,6174.00,1.10,1.16,0.280,4.42,1.000
Kepler-1813,,5167.00,0.79,0.81,-0.400,4.56,2.300
Kepler-1814,,4922.00,0.82,0.79,-0.506,4.50,
Kepler-1815,,5516.00,0.97,0.86,-0.030,4.40,13.500
Kepler-1816,,5051.00,0.71,0.79,-0.531,4.63,0.700
Kepler-1817,,5316.00,0.92,0.88,-0.380,4.46,0.400
Kepler-1818,,6047.00,1.13,1.02,0.261,4.34,5.400
Kepler-1819,,6090.00,1.07,1.17,0.086,4.45,0.400
Kepler-1820,,5841.00,0.93,1.05,-0.022,4.52,0.400
Kepler-1821,,5475.00,0.88,0.95,-0.124,4.52,0.400
Kepler-1822,,5165.00,0.70,0.78,-0.286,4.63,0.800
Kepler-1823,,6000.00,1.13,1.07,0.287,4.36,1.880
Kepler-1824,,6002.00,1.08,1.14,0.171,4.42,0.330
Kepler-1825,,5123.00,0.85,0.83,-0.532,4.50,14.000
Kepler-1826,,3821.00,0.49,0.49,-1.122,4.75,13.800
Kepler-1827,,5423.00,1.40,0.92,0.187,4.11,13.200
Kepler-1828,,5806.00,0.90,1.00,-0.111,4.53,0.400
Kepler-1829,,5230.00,0.78,0.87,-0.394,4.59,4.400
Kepler-1830,,6160.00,2.05,1.44,0.631,3.98,0.320
Kepler-1831,,6063.00,1.01,1.12,-0.045,4.48,0.300
Kepler-1832,,5242.00,0.72,0.68,-0.337,4.56,14.000
Kepler-1833,,6164.00,1.45,1.29,0.437,4.23,2.570
Kepler-1834,,4821.00,0.79,0.77,-0.577,4.53,12.200
Kepler-1835,,5903.00,0.96,0.92,0.078,4.44,4.800
Kepler-1836,,6123.00,0.99,1.05,0.016,4.47,
Kepler-1837,,5966.00,0.96,1.05,-0.068,4.49,0.500
Kepler-1838,,5877.00,1.96,1.19,0.537,3.93,6.200
Kepler-1839,,5926.00,0.94,1.03,0.192,4.51,0.400
Kepler-1840,,4898.00,0.80,0.77,-0.587,4.52,14.000
Kepler-1841,,5190.00,0.90,0.82,-0.278,4.45,11.600
Kepler-1842,,5970.00,1.13,1.06,-0.026,4.36,7.000
Kepler-1843,,5422.00,1.78,1.02,0.394,3.95,10.800
Kepler-1844,,5776.00,0.85,0.94,0.226,4.55,
Kepler-1845,,4703.00,0.70,0.69,-0.578,4.58,1.000
Kepler-1846,,4825.00,0.73,0.79,-0.530,4.60,14.000
Kepler-1847,,6122.00,0.96,1.04,0.099,4.49,0.400
Kepler-1848,,4847.00,0.74,0.76,-0.513,4.58,13.800
Kepler-1849,,4806.00,0.73,0.71,-0.662,4.56,13.500
Kepler-1850,,4239.00,0.60,0.61,-0.810,4.67,13.800
Kepler-1851,,5982.00,0.88,0.97,0.060,4.54,0.300
Kepler-1852,,5237.00,0.83,0.93,-0.432,4.57,8.600
Kepler-1853,,4821.00,0.79,0.77,-0.562,4.53,14.000
Kepler-1854,,5026.00,0.76,0.80,-0.479,4.58,0.700
Kepler-1855,,3460.00,0.36,0.39,-1.295,4.92,13.800
Kepler-1856,,4948.00,0.82,0.78,-0.331,4.51,10.900
Kepler-1857,,6074.00,1.01,0.87,0.205,4.38,3.500
Kepler-1858,,4939.00,0.82,0.79,-0.453,4.51,0.700
Kepler-1859,,5887.00,1.24,1.09,0.154,4.29,2.500
Kepler-1860,,5420.00,0.87,0.87,-0.181,4.50,0.400
Kepler-1861,,5855.00,1.37,1.16,0.300,4.23,2.800
Kepler-1862,,5644.00,0.81,0.90,-0.215,4.58,0.400
Kepler-1863,,5871.00,0.98,1.10,0.410,4.49,4.700
Kepler-1864,,5854.00,0.98,1.03,0.030,4.47,
Kepler-1865,,5420.00,0.87,0.85,-0.329,4.49,11.600
Kepler-1866,,5791.00,1.08,1.03,0.144,4.38,0.300
Kepler-1867,,5693.00,0.82,0.91,0.219,4.57,0.500
Kepler-1868,,4658.00,0.69,0.74,-0.662,4.63,14.000
Kepler-1869,,5808.00,0.90,0.99,-0.050,4.52,6.300
Kepler-1870,,5508.00,0.84,0.96,-0.226,4.57,13.400
Kepler-1871,,5741.00,0.95,1.02,0.003,4.50,5.700
Kepler-1872,,5223.00,0.89,0.91,-0.506,4.50,
Kepler-1873,,5151.00,0.79,0.90,-0.410,4.59,1.000
Kepler-1874,,4701.00,0.78,0.76,-0.577,4.54,13.800
Kepler-1875,,6161.00,0.86,0.95,0.407,4.54,0.300
Kepler-1876,,6057.00,1.47,1.08,0.429,4.14,4.500
Kepler-1877,,5615.00,0.94,1.02,-0.077,4.50,0.400
Kepler-1878,,5918.00,0.86,0.96,0.187,4.54,
Kepler-1879,,5865.00,1.39,1.02,0.384,4.16,4.300
Kepler-1880,,4380.00,0.53,0.52,-0.762,4.71,13.600
Kepler-1881,,5135.00,0.87,0.81,-0.307,4.46,0.900
Kepler-1882,,5691.00,1.46,1.07,0.237,4.14,7.800
Kepler-1883,,6208.00,1.02,1.09,-0.016,4.45,
Kepler-1884,,5984.00,0.91,0.99,0.277,4.52,0.300
Kepler-1885,,5591.00,0.86,0.98,-0.176,4.56,0.900
Kepler-1886,,5745.00,0.84,0.93,-0.161,4.56,
Kepler-1887,,5749.00,0.86,0.96,-0.190,4.55,0.500
Kepler-1888,,5557.00,1.25,0.90,0.374,4.20,11.300
Kepler-1889,,5646.00,0.82,0.86,0.220,4.55,
Kepler-1890,,6046.00,1.40,1.02,0.267,4.16,2.650
Kepler-1891,,5516.00,0.83,0.87,-0.231,4.54,3.700
Kepler-1892,,5383.00,0.76,0.85,-0.301,4.60,0.500
Kepler-1893,,5633.00,1.16,0.97,0.160,4.30,13.900
